trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,cover_snaps,n_cover_moves,stop_reason
125,10,10,0,3469.2988,13151.4941,133,18,0.227659,7,3,7,6,certificate
126,10,10,0,2624.1062,9045.5311,128,18,0.245963,7,2,7,6,certificate
127,15,15,0,3571.5788,13567.8940,131,26,0.297332,7,2,7,6,certificate
128,11,11,0,3697.6271,14393.1357,128,20,0.299327,7,2,7,6,certificate
129,16,16,0,4225.4988,17202.4940,118,27,0.504343,7,2,7,6,certificate
130,16,16,0,4344.1129,18020.5643,111,28,0.449068,7,2,6,5,certificate
131,10,10,0,3524.9062,13644.5309,125,21,0.328873,7,2,7,6,certificate
132,16,16,0,3740.6613,14848.3064,116,25,0.339542,7,2,6,5,certificate
133,11,11,0,3000.0352,11285.1760,115,18,0.246063,7,2,7,6,certificate
134,13,13,0,3193.9361,12039.6805,121,24,0.265433,7,2,7,6,certificate
135,13,13,0,3419.8428,13014.2139,126,24,0.345035,7,2,7,6,certificate
136,10,10,0,3333.4849,12922.4244,117,20,0.284304,7,2,7,6,certificate
137,13,13,0,3113.5256,11777.6280,116,22,0.867478,7,2,7,6,certificate
138,15,15,0,3936.9195,15904.5974,114,27,0.384336,7,2,7,6,certificate
139,12,12,0,3485.9512,13764.7562,112,20,0.545773,7,2,7,6,certificate
140,16,16,0,4283.9725,17414.8626,120,24,0.229520,7,3,6,5,certificate
141,15,15,0,3445.3685,13556.8425,110,27,0.318752,7,2,7,6,certificate
142,13,13,0,3120.2759,11656.3796,122,22,0.326219,7,2,7,6,certificate
143,16,16,0,3703.5377,15077.6884,102,22,0.263533,7,2,5,4,certificate
144,16,16,0,4063.6223,16338.1115,120,24,0.230730,7,2,7,6,certificate
145,14,14,0,3462.5375,13447.6877,118,24,0.327589,7,3,7,6,certificate
146,15,15,0,3759.7590,15013.7949,114,25,0.289942,7,2,7,6,certificate
147,16,16,0,3413.8512,13134.2558,120,24,0.268360,7,2,6,5,certificate
148,15,15,0,3167.8382,11759.1912,124,24,0.273205,7,2,7,6,certificate
149,14,14,0,3451.8515,13114.2575,127,25,0.290749,7,2,7,6,certificate
150,11,11,0,3577.7767,14148.8835,116,18,0.250133,7,3,7,6,certificate
151,12,12,0,3549.2989,14006.4947,115,22,0.297347,7,2,7,6,certificate
152,12,12,0,3283.8726,12679.3632,115,22,0.337741,7,2,7,6,certificate
153,16,16,0,4012.4938,16287.4691,113,23,0.356785,7,2,6,5,certificate
154,15,15,0,3490.8751,13734.3754,111,24,0.245404,7,3,7,6,certificate
155,13,13,0,3156.0593,11720.2965,125,23,0.326935,7,2,7,6,certificate
156,10,10,0,3307.2840,12471.4201,128,18,0.240922,7,3,7,6,certificate
157,12,12,0,2934.3330,10856.6650,118,20,0.276526,7,2,7,6,certificate
158,11,11,0,3528.2669,13761.3347,121,21,0.284135,7,2,7,6,certificate
159,14,14,0,3234.7978,12763.9890,103,23,0.462695,7,2,7,6,certificate
160,14,14,0,3712.7204,14703.6022,118,23,0.377297,7,2,7,6,certificate
161,15,15,0,4048.3387,16521.6934,112,24,0.308271,7,2,7,6,certificate
162,14,14,0,3918.2405,15776.2025,116,23,0.368481,7,2,7,6,certificate
163,13,13,0,3304.3240,12776.6202,114,22,0.340818,7,2,7,6,certificate
164,15,15,0,3791.2473,15351.2364,108,26,0.294057,7,2,7,6,certificate
165,11,11,0,3309.2113,12526.0565,125,19,0.290588,7,2,7,6,certificate
166,15,15,0,3529.5280,13632.6402,122,22,0.254643,7,2,7,6,certificate
167,16,16,0,3443.8280,13709.1399,104,23,0.342492,7,2,7,6,certificate
168,11,11,0,3740.0763,14800.3813,121,19,0.271143,7,2,7,6,certificate
169,15,15,0,3234.1935,12650.9677,105,25,0.294206,7,3,7,6,certificate
170,12,12,0,3074.5712,11632.8562,115,19,0.274279,7,3,7,6,certificate
171,10,10,0,3683.8005,14524.0023,122,21,0.315399,7,2,7,6,certificate
172,16,16,0,3049.6239,11653.1194,107,26,0.312882,7,2,7,6,certificate
173,14,14,0,3536.9358,13834.6792,118,24,0.317129,7,2,7,6,certificate
174,13,13,0,3764.2722,14636.3608,129,21,0.240954,7,3,7,6,certificate
175,16,16,0,3911.6923,15628.4613,118,25,0.241658,7,2,6,5,certificate
176,14,14,0,3020.6133,11283.0664,116,24,0.346116,7,2,7,6,certificate
177,11,11,0,2836.6193,10433.0966,116,18,0.277365,7,2,7,6,certificate
178,10,10,0,3523.2260,13816.1299,119,20,0.293021,7,2,7,6,certificate
179,11,11,0,3817.3239,14861.6195,132,21,0.322683,7,2,7,5,certificate
180,16,16,0,3959.0227,15710.1133,123,24,0.232301,7,2,6,5,certificate
181,13,13,0,3726.5980,14722.9901,120,24,0.381262,7,2,7,6,certificate
182,14,14,0,2897.2541,10666.2704,116,23,0.321028,7,2,7,6,certificate
183,10,10,0,3530.3183,13501.5916,131,19,0.307539,7,3,7,6,certificate
184,16,16,0,4555.2024,19116.0121,111,32,0.536634,7,2,6,5,certificate
185,12,12,0,3760.3019,15116.5096,113,21,0.471644,7,2,7,6,certificate
186,16,16,0,3523.9378,13704.6890,118,27,0.310450,7,2,7,6,certificate
187,14,14,0,3229.9723,12524.8614,110,22,0.336931,7,2,7,6,certificate
188,16,16,0,3108.9322,12164.6610,100,24,0.357203,7,2,6,5,certificate
189,13,13,0,3139.1481,11775.7403,120,21,0.289076,7,2,7,6,certificate
190,14,14,0,3476.4260,13437.1302,120,22,0.240998,7,2,7,6,certificate
191,15,15,0,3788.4721,15277.3605,110,21,0.200525,7,3,7,6,certificate
192,11,11,0,3371.1332,12870.6659,124,18,0.260778,7,3,7,6,certificate
193,13,13,0,2698.8945,9784.4725,113,22,0.283783,7,2,7,6,certificate
194,11,11,0,2986.5418,11257.7091,114,19,0.336475,7,2,7,6,certificate
195,10,10,0,3090.3250,11276.6248,131,19,0.302926,7,2,7,6,certificate
196,12,12,0,3387.1015,13110.5074,118,20,0.424361,7,2,7,6,certificate
197,10,10,0,3697.0596,14635.2980,121,20,0.300097,7,3,7,6,certificate
198,13,13,0,3971.9625,15714.8124,127,20,0.238762,7,3,7,6,certificate
199,14,14,0,3842.3725,15371.8624,117,24,0.480969,7,2,7,6,certificate
200,16,16,0,3516.4996,13857.4980,111,23,0.263817,7,2,6,5,certificate
201,13,13,0,3734.3568,14686.7838,123,20,0.245588,7,3,7,6,certificate
202,11,11,0,2872.4733,10787.3665,111,18,0.375159,7,2,7,6,certificate
203,16,16,0,4246.0808,17330.4041,118,26,0.419424,7,2,7,6,certificate
204,14,14,0,3008.9029,11289.5146,114,23,0.273783,7,2,7,6,certificate
205,16,16,0,3526.6688,13848.3442,113,27,0.339874,7,2,7,6,certificate
206,13,13,0,3415.9831,13084.9153,123,22,0.253624,7,2,7,6,certificate
207,12,12,0,3645.8228,14184.1142,125,22,0.270201,7,2,7,6,certificate
208,12,12,0,2964.9696,10999.8480,118,20,0.291787,7,2,7,6,certificate
209,14,14,0,3745.2942,14936.4712,115,22,0.273665,7,2,7,6,certificate
210,10,10,0,3110.4881,11487.4403,128,18,0.284868,7,2,7,6,certificate
211,10,10,0,3546.0688,13775.3438,124,20,0.315795,7,2,7,6,certificate
212,16,16,0,4162.0436,17020.2179,114,27,0.320713,7,2,6,5,certificate
213,14,14,0,3381.9804,13024.9018,118,23,0.265125,7,2,7,6,certificate
214,16,16,0,3710.9396,14184.6982,132,24,0.301700,7,2,7,6,certificate
215,12,12,0,3299.5502,12817.7508,113,21,0.344972,7,2,7,6,certificate
216,16,16,0,3071.6183,11933.0914,102,23,0.348835,7,2,6,5,certificate
217,14,14,0,3580.8488,13779.2441,126,22,0.331339,7,2,7,6,certificate
218,15,15,0,3852.6228,15263.1138,122,25,0.374871,7,2,7,6,certificate
219,10,10,0,3417.0025,13360.0127,116,20,0.317272,7,2,7,6,certificate
220,14,14,0,3703.0950,14585.4748,119,23,0.250644,7,2,7,6,certificate
221,16,16,0,3537.1906,13630.9529,122,25,0.252460,7,2,6,5,certificate
