trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
374,16,16,0,3499.3064,13396.5318,124,23,0.969427,7,2,certificate
375,14,14,0,3341.8528,12534.2638,128,29,2.119303,7,2,certificate
376,15,15,0,3888.9238,15024.6189,136,31,0.893560,7,2,certificate
377,14,14,0,3729.8679,14484.3394,128,27,0.875558,7,2,certificate
378,14,14,0,3365.7627,12563.8134,131,25,1.299972,7,2,certificate
379,13,13,0,3759.2877,14431.4384,135,25,0.897824,7,2,certificate
380,10,10,0,3264.1649,12485.8247,120,19,0.741749,7,2,certificate
381,16,16,0,4297.3697,18011.8483,103,28,0.724919,7,2,certificate
382,10,10,0,2766.0673,10105.3364,116,20,0.617905,7,3,certificate
383,12,12,0,3745.2526,14856.2631,120,25,1.036520,7,2,certificate
384,15,15,0,3929.8872,15589.4358,123,25,1.071364,7,2,certificate
385,12,12,0,3569.4710,14047.3548,117,21,0.800649,7,2,certificate
386,12,12,0,3417.1968,13175.9840,121,23,1.755878,7,2,certificate
387,10,10,0,3438.2444,12996.2220,131,18,0.557761,7,3,certificate
388,14,14,0,3397.9459,13409.7296,108,25,0.880745,7,2,certificate
389,15,15,0,3977.3936,15796.9678,124,29,1.347336,7,2,certificate
390,11,11,0,3363.6787,13013.3935,118,18,0.583490,7,3,certificate
391,14,14,0,4537.0041,18635.0206,124,26,0.767925,7,2,certificate
392,12,12,0,3952.1202,15725.6010,125,21,0.745136,7,2,certificate
393,16,16,0,3811.1142,15190.5709,116,27,0.910317,7,3,certificate
394,14,14,0,3691.8399,14094.1996,134,25,0.762326,7,2,certificate
395,14,14,0,3618.1981,14515.9904,108,23,0.951365,7,2,certificate
396,11,11,0,3347.3436,13201.7178,109,19,0.615137,7,3,certificate
397,16,16,0,3253.3096,12976.5480,97,25,1.005279,7,2,certificate
398,14,14,0,4386.0447,17855.2234,125,30,1.522062,7,2,certificate
399,11,11,0,3045.6418,11273.2089,123,21,0.784260,7,2,certificate
400,16,16,0,3991.8611,16254.3056,111,25,0.998491,7,2,certificate
401,14,14,0,3303.2448,12996.2239,106,24,0.874815,7,2,certificate
402,10,10,0,3620.1453,14015.7263,128,19,0.622629,7,2,certificate
403,11,11,0,3933.4441,15397.2204,134,23,0.787771,7,2,certificate
404,10,10,0,3045.9933,11244.9666,125,18,0.881505,7,2,certificate
405,14,14,0,3028.2738,11196.3692,120,21,0.705034,7,2,certificate
406,16,16,0,4021.9007,16114.5033,120,27,0.827590,7,2,certificate
407,10,10,0,3039.4747,11067.3733,130,21,0.731894,7,2,certificate
408,13,13,0,3675.2231,14196.1154,129,22,1.514521,7,1,certificate
409,14,14,0,3384.2930,13016.4648,119,25,0.779350,7,2,certificate
410,11,11,0,3683.2923,14486.4615,122,21,0.825098,7,2,certificate
411,15,15,0,3716.6233,14148.1163,135,25,0.815830,7,2,certificate
412,15,15,0,3081.7688,11323.8441,124,25,0.879582,7,2,certificate
413,13,13,0,3329.2038,12931.0190,114,24,0.832748,7,2,certificate
414,11,11,0,3210.8661,12389.3304,114,22,0.881633,7,2,certificate
415,16,16,0,3534.6909,14453.4547,95,25,1.836378,7,2,certificate
416,14,14,0,3589.8511,13864.2554,125,23,1.597535,7,2,certificate
417,14,14,0,3513.8280,13279.1398,132,25,1.429673,7,2,certificate
418,10,10,0,3534.2848,13701.4238,125,22,0.832649,7,3,certificate
419,15,15,0,3903.7654,14968.8272,140,30,1.391638,7,2,certificate
420,10,10,0,3058.6393,11813.1966,108,18,0.676308,7,2,certificate
421,11,11,0,3638.8265,14164.1324,126,22,0.908157,7,3,certificate
422,13,13,0,3577.4391,13792.1957,126,22,0.754092,7,2,certificate
423,14,14,0,3616.0061,14075.0304,122,25,1.035919,7,2,certificate
424,15,15,0,3082.3397,11866.6987,106,26,0.999596,7,2,certificate
425,13,13,0,3411.1099,13290.5497,115,24,1.638261,7,2,certificate
426,10,10,0,3021.1004,11440.5019,114,19,0.753214,7,3,certificate
427,13,13,0,3648.0791,14240.3953,123,28,1.718143,7,1,certificate
428,15,15,0,3747.1291,14815.6456,119,26,1.174832,7,2,certificate
429,11,11,0,3608.6476,14423.2378,112,22,1.078110,7,2,certificate
430,16,16,0,3550.9386,13379.6930,135,28,0.978101,7,2,certificate
431,16,16,0,3778.4875,15222.4373,110,24,0.747883,7,3,certificate
432,10,10,0,3611.6587,14118.2937,124,20,1.148670,7,2,certificate
433,14,14,0,3947.4030,15832.0152,119,24,1.137155,7,2,certificate
434,15,15,0,3556.4115,14007.0576,114,26,0.927749,7,2,certificate
435,14,14,0,3322.0576,12825.2880,115,23,0.856762,7,2,certificate
436,11,11,0,3409.3452,13301.7258,116,23,1.073923,7,2,certificate
437,14,14,0,3063.0580,11795.2899,106,24,1.497998,7,3,certificate
438,14,14,0,3708.0993,14570.4964,121,26,0.900080,7,2,certificate
439,16,16,0,3458.2954,13521.4768,113,24,0.701254,7,2,certificate
440,15,15,0,3554.0864,13635.4318,126,23,0.801240,7,2,certificate
441,13,13,0,3431.5024,13242.5122,120,20,0.741564,7,2,certificate
442,13,13,0,3191.8354,12504.1768,105,23,2.865818,7,2,certificate
443,16,16,0,3904.1267,15835.6333,110,27,1.167267,7,2,certificate
444,16,16,0,4249.3273,17266.6365,120,29,0.748689,7,2,certificate
445,12,12,0,3178.9256,12279.6281,111,23,1.268469,7,2,certificate
446,11,11,0,3059.5492,11527.7460,118,21,0.907346,7,2,certificate
447,10,10,0,3623.1734,13740.8669,139,22,0.732141,7,3,certificate
448,11,11,0,2998.5099,11127.5495,120,20,0.995011,7,2,certificate
449,10,10,0,3092.1972,11615.9861,120,19,0.933591,7,2,certificate
450,10,10,0,3279.9186,12149.5932,134,23,0.890566,7,2,certificate
451,12,12,0,3990.0904,15645.4521,134,23,0.860454,7,2,certificate
452,10,10,0,3479.3092,13521.5460,121,17,0.741277,7,2,certificate
