trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,cover_snaps,n_cover_moves,stop_reason
645,13,13,0,3482.6237,13643.1185,115,21,0.247608,7,2,7,6,certificate
646,13,13,0,3426.4212,13197.1060,121,20,0.291944,7,2,7,6,certificate
647,13,13,0,3487.0081,13515.0405,120,24,0.378200,7,2,7,6,certificate
648,15,15,0,3633.7108,13963.5542,128,25,0.309096,7,3,7,6,certificate
649,15,15,0,4038.0325,16190.1623,122,27,0.373141,7,2,7,6,certificate
650,11,11,0,2762.0534,10300.2672,108,18,0.297464,7,2,7,6,certificate
651,11,11,0,3659.4924,14172.4618,129,20,0.368800,7,2,7,6,certificate
652,11,11,0,2988.1334,11050.6669,121,18,0.271495,7,2,7,6,certificate
653,16,16,0,2952.8070,11434.0349,99,23,0.270535,7,2,4,3,certificate
654,12,12,0,3306.6825,12573.4127,123,19,0.269925,7,2,7,6,certificate
655,13,13,0,2992.9135,10979.5675,123,21,0.269849,7,2,7,6,certificate
656,16,16,0,4387.6183,18258.0915,110,29,0.460197,7,2,7,6,certificate
657,16,16,0,3395.0809,13025.4045,119,24,0.382540,7,2,7,6,certificate
658,10,10,0,3434.0828,13240.4141,123,22,0.347540,7,2,7,6,certificate
659,15,15,0,4191.7081,17018.5404,120,23,0.351774,7,2,7,6,certificate
660,14,14,0,3769.6566,14868.2831,121,25,0.376941,7,2,7,6,certificate
661,13,13,0,3659.9882,14189.9410,127,28,0.561848,7,2,7,6,certificate
662,15,15,0,3196.0501,11855.2507,125,23,0.319091,7,2,7,6,certificate
663,16,16,0,2983.9104,11474.5519,102,24,0.312148,7,2,6,5,certificate
664,10,10,0,3363.6347,12713.1736,129,20,0.339711,7,2,7,6,certificate
665,16,16,0,3663.0971,14675.4855,108,23,0.281777,7,2,6,5,certificate
666,13,13,0,3173.8646,12349.3229,107,23,0.329010,7,2,7,6,certificate
667,11,11,0,2789.1071,10060.5356,121,18,0.266983,7,2,7,6,certificate
668,14,14,0,3504.6720,13553.3598,121,24,0.286974,7,2,7,6,certificate
669,14,14,0,3790.1894,14720.9471,130,24,0.357369,7,2,7,6,certificate
670,11,11,0,3978.6974,15918.4871,124,20,0.332849,7,2,7,6,certificate
671,12,12,0,3473.5550,13562.7751,117,24,0.334450,7,2,7,6,certificate
672,10,10,0,3299.7054,12333.5270,132,20,0.320535,7,2,7,6,certificate
673,13,13,0,3459.2363,13751.1816,108,23,0.348540,7,2,7,6,certificate
674,11,11,0,3041.9693,11554.8465,113,20,0.315926,7,2,7,6,certificate
675,15,15,0,3459.0563,13605.2814,111,22,0.453822,7,2,7,6,certificate
676,13,13,0,3009.0046,11185.0228,118,21,0.290379,7,2,7,6,certificate
677,14,14,0,3260.6403,12143.2013,127,22,0.339169,7,2,7,6,certificate
678,13,13,0,4054.7780,16753.8902,107,22,0.289591,7,2,7,6,certificate
679,10,10,0,3225.5361,12172.6803,124,18,0.320403,7,2,7,6,certificate
680,12,12,0,3580.6769,13903.3846,124,22,0.333155,7,2,7,6,certificate
681,12,12,0,3404.5385,13227.6926,117,19,0.367457,7,2,7,6,certificate
682,15,15,0,3740.4270,14707.1349,121,25,0.343892,7,2,7,6,certificate
683,11,11,0,2872.8319,10654.1596,115,18,0.273746,7,2,7,6,certificate
684,10,10,0,2991.4206,10877.1032,128,19,0.310375,7,2,7,6,certificate
685,12,12,0,3633.0021,14305.0107,119,19,0.267982,7,2,7,6,certificate
686,10,10,0,3166.2000,12171.0002,114,19,0.326381,7,2,7,6,certificate
687,11,11,0,3195.4975,11797.4873,131,21,0.334099,7,2,7,6,certificate
688,12,12,0,3503.7029,13688.5146,118,23,0.382471,7,2,7,6,certificate
689,12,12,0,3035.0682,11580.3412,110,20,0.314555,7,2,7,6,certificate
690,14,14,0,3583.1610,13375.8050,140,28,0.444884,7,2,7,6,certificate
691,11,11,0,3141.3153,12111.5764,111,19,0.381854,7,2,7,6,certificate
692,13,13,0,3344.7553,12803.7766,121,23,0.568318,7,2,7,6,certificate
693,12,12,0,3458.0669,13225.3347,126,20,0.296545,7,4,7,6,certificate
694,10,10,0,3306.1535,12485.7673,127,20,0.292307,7,2,7,6,certificate
695,15,15,0,3502.9960,13384.9801,126,26,0.371044,7,2,7,6,certificate
696,15,15,0,3859.5976,15047.9878,130,22,0.273409,7,2,7,6,certificate
697,15,15,0,3503.4107,13587.0534,119,23,0.294984,7,4,7,6,certificate
698,10,10,0,3294.2643,12686.3215,118,18,0.279541,7,2,7,6,certificate
699,16,16,0,4397.0786,17990.3929,121,30,0.413930,7,2,7,6,certificate
700,13,13,0,4019.8645,15674.3225,137,26,0.346203,7,2,7,6,certificate
701,14,14,0,3719.3689,14631.8446,121,25,0.321939,7,2,7,6,certificate
702,10,10,0,3537.3037,13811.5187,121,20,0.293625,7,2,7,6,certificate
703,16,16,0,3666.1254,14280.6268,122,25,0.363990,7,3,7,6,certificate
