trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
480,12,12,0,3205.0513,12225.2567,117,24,0.858919,7,2,certificate
481,15,15,0,3445.2709,13706.3546,106,24,0.919024,7,2,certificate
482,12,12,0,3313.5969,13057.9847,107,21,0.761715,7,2,certificate
483,15,15,0,4859.2102,20666.0510,109,26,0.784561,7,2,certificate
484,14,14,0,3556.0555,13995.2775,115,29,1.302347,7,2,certificate
485,12,12,0,3616.7384,14058.6922,125,20,0.586828,7,2,certificate
486,14,14,0,3486.2546,13951.2728,105,24,0.763904,7,2,certificate
487,10,10,0,4012.2589,16096.2945,124,23,0.619295,7,2,certificate
488,14,14,0,3515.3487,13551.7436,123,25,0.617542,7,3,certificate
489,15,15,0,4519.8809,18729.4046,117,25,0.728515,7,2,certificate
490,14,14,0,2889.2723,10596.3613,117,24,0.862782,7,2,certificate
491,16,16,0,3796.9111,15514.5553,103,25,1.756755,7,2,certificate
492,16,16,0,4151.2404,16051.2022,144,29,0.852091,7,2,certificate
493,11,11,0,3280.7995,12128.9973,134,23,0.963524,7,2,certificate
494,14,14,0,3331.3700,13101.8498,107,22,0.610461,7,2,certificate
495,10,10,0,2745.8969,9774.4847,124,18,0.696443,7,2,certificate
496,12,12,0,3275.3260,12501.6299,120,21,0.685520,7,2,certificate
497,11,11,0,2963.7676,10468.8379,136,21,0.758257,7,2,certificate
498,11,11,0,3387.8122,12979.0612,123,20,0.680860,7,2,certificate
499,16,16,0,3425.2376,13381.1882,112,25,0.948081,7,2,certificate
500,10,10,0,3116.4801,11677.4007,122,19,0.640991,7,2,certificate
501,12,12,0,3329.2118,12756.0590,120,20,0.508928,7,2,certificate
502,12,12,0,3476.6451,13578.2253,117,24,1.246278,7,2,certificate
503,14,14,0,3514.9989,13724.9946,117,26,0.799327,7,2,certificate
504,10,10,0,3147.2981,11876.4905,121,21,0.725596,7,2,certificate
505,11,11,0,3450.5572,13357.7861,121,20,0.597929,7,2,certificate
506,14,14,0,3371.8335,13259.1675,109,24,0.577404,7,2,certificate
507,11,11,0,3282.6843,12433.4216,124,25,0.967417,7,2,certificate
508,11,11,0,3682.6452,14643.2259,117,21,0.607976,7,2,certificate
509,15,15,0,3748.4651,14987.3255,113,23,0.737167,7,2,certificate
510,13,13,0,3716.2042,14386.0209,129,24,0.666533,7,2,certificate
511,10,10,0,3269.8503,12694.2513,114,17,0.618646,7,2,certificate
512,13,13,0,3157.9840,12149.9200,111,22,1.212665,7,2,certificate
513,12,12,0,3415.4485,13252.2423,118,21,0.637222,7,2,certificate
514,16,16,0,3381.5110,13432.5551,103,27,1.280902,7,2,certificate
515,11,11,0,3775.9639,14789.8194,128,21,0.500616,7,2,certificate
516,10,10,0,2618.4431,9252.2153,120,18,0.650243,7,2,certificate
517,14,14,0,3413.6402,12908.2009,127,26,0.963663,7,2,certificate
518,12,12,0,3180.3786,12146.8928,116,20,0.751448,7,2,certificate
519,12,12,0,3508.1021,13285.5106,132,26,1.151586,7,2,certificate
520,10,10,0,3142.3428,11631.7138,128,21,0.541863,7,2,certificate
521,10,10,0,2940.6235,10938.1177,118,18,0.808229,7,2,certificate
522,12,12,0,3043.0885,10990.4426,131,23,0.667116,7,2,certificate
523,15,15,0,4023.6277,16283.1387,116,27,0.736367,7,3,certificate
524,14,14,0,3561.6226,13948.1132,118,24,0.726219,7,2,certificate
525,10,10,0,2932.4929,10727.4643,123,18,0.700536,7,2,certificate
526,15,15,0,4086.4909,16512.4546,119,28,0.840720,7,2,certificate
527,12,12,0,3326.3266,12781.6331,119,21,0.707000,7,2,certificate
528,16,16,0,4255.0274,16930.1370,132,24,0.536147,7,2,certificate
529,11,11,0,3108.7896,11888.9479,113,21,0.679559,7,2,certificate
530,10,10,0,3119.6559,11418.2795,131,22,0.717524,7,2,certificate
531,12,12,0,3616.1841,14255.9206,118,22,0.858816,7,2,certificate
532,16,16,0,3691.9224,14964.6122,103,24,0.843218,7,2,certificate
533,12,12,0,3968.7912,15558.9558,133,24,0.729180,7,3,certificate
534,10,10,0,3108.5591,11762.7954,118,18,0.768371,7,2,certificate
535,14,14,0,3610.2019,14081.0094,121,25,0.869977,7,2,certificate
536,12,12,0,3979.8796,15949.3981,122,24,0.624597,7,2,certificate
537,12,12,0,4290.4197,17422.0983,125,24,0.706265,7,2,certificate
538,13,13,0,3693.9021,14439.5106,124,24,0.714478,7,2,certificate
539,13,13,0,3510.2189,13776.0943,116,23,0.921644,7,2,certificate
540,16,16,0,4177.8369,17069.1847,115,29,1.964696,7,2,certificate
541,14,14,0,3491.8863,13554.4317,119,23,0.704277,7,2,certificate
542,16,16,0,3712.5538,14482.7692,123,24,0.645702,7,2,certificate
543,16,16,0,3357.2882,12946.4410,115,28,1.078556,7,2,certificate
544,12,12,0,3428.9719,13199.8596,122,22,0.720122,7,2,certificate
545,12,12,0,3880.0970,15575.4852,118,24,0.954360,7,2,certificate
