trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear
1435,11,11,0,2875.1973,10290.9866,128,20,1.509307,6,2
1436,10,10,0,3724.7008,14088.5039,143,22,1.205952,7,2
1437,11,11,0,3737.7964,13648.9822,159,21,1.448861,7,3
1438,10,10,0,3516.6993,13133.4965,140,20,0.772741,7,2
1439,16,16,0,4144.8914,16009.4571,144,30,2.052659,7,2
1440,13,13,0,3879.7225,14833.6123,143,26,3.431581,7,2
1441,15,15,0,3449.0309,12795.1545,136,29,3.999612,6,2
1442,10,10,0,3492.3004,12766.5021,149,22,1.760024,7,2
1443,13,13,0,3753.0608,14165.3042,143,26,1.308102,7,2
1444,11,11,0,3996.3689,14391.8446,178,31,1.292218,7,2
1445,14,14,0,3594.7521,12348.7605,176,24,1.722697,7,2
1446,13,13,0,3413.1797,11920.8985,161,31,5.257968,7,2
1447,14,14,0,3667.2283,13581.1414,147,26,0.929823,7,2
1448,14,14,0,4172.8315,16044.1577,150,26,2.701705,6,2
1449,13,13,0,3565.0886,12865.4429,155,31,3.714063,7,2
1450,12,12,0,3905.8376,14469.1878,159,26,1.516671,7,3
1451,11,11,0,3622.6365,13618.1826,141,24,1.062707,7,2
1452,13,13,0,3931.5546,14337.7728,167,31,1.406420,7,4
1453,16,16,0,4032.3752,15066.8758,157,29,2.510910,7,3
1454,10,10,0,2946.6287,9093.1433,180,26,0.939829,6,2
1455,10,10,0,3912.8400,14799.1998,151,22,0.652316,7,3
1456,15,15,0,4065.2368,15231.1840,158,28,2.066894,7,2
1457,13,13,0,4170.8827,16019.4137,151,26,0.489318,7,4
1458,16,16,0,3820.0703,13830.3514,163,32,3.437174,7,2
1459,12,12,0,3433.5447,12772.7236,137,20,1.099680,7,2
1460,14,14,0,3348.7176,12098.5878,144,24,2.172917,7,2
1461,16,16,0,4087.1476,14760.7380,177,35,6.475461,7,2
1462,15,15,0,4344.8173,16344.0865,167,33,3.248572,7,2
1463,14,14,0,3853.5506,14107.7530,161,26,2.431526,7,2
1464,16,16,0,3798.5330,14072.6651,152,34,1.644694,7,2
1465,11,11,0,3226.4572,10562.2861,177,23,0.706765,6,2
1466,14,14,0,3719.3075,12901.5373,179,29,1.116400,7,2
1467,16,16,0,3807.1991,14490.9953,140,35,3.752191,7,2
1468,16,16,0,4513.9251,16594.6254,188,35,2.286724,7,2
1469,11,11,0,3737.8220,14184.1101,142,23,0.889680,7,3
1470,16,16,0,3257.7698,10803.8489,170,26,1.934962,7,2
1471,15,15,0,3776.6466,13993.2330,152,27,1.397579,6,2
1472,16,16,0,4869.2059,15141.0295,324,29,1.909964,7,2
1473,14,14,0,3369.1097,11510.5487,166,26,1.111294,7,2
1474,15,15,0,3682.5926,13227.9631,161,30,1.519812,7,2
1475,16,16,0,4747.7949,18003.9746,178,35,2.763055,7,2
1476,10,10,0,3435.8250,12529.1252,147,22,0.663064,7,2
1477,12,12,0,4246.9558,16999.7788,133,33,2.038801,7,2
